image_id,breed
a8b3ad1dde,nerodia-erythrogaster
8b492b973d,pantherophis-vulpinus
929b99ea92,thamnophis-sirtalis
bbac7385e2,pantherophis-obsoletus
ef776b1488,agkistrodon-contortrix
190317f717,crotalus-atrox
43e4eb5f81,lampropeltis-triangulum
4fd6a5e5fa,crotalus-horridus
a57df436ac,crotalus-ruber
89c4bc8de3,heterodon-platirhinos
d7c292df19,nerodia-sipedon
a8122de0e8,thamnophis-elegans
b4b1201f20,thamnophis-marcianus
884edafa0b,crotalus-viridis
da4c31dc0d,nerodia-fasciata
e6cef2b865,haldea-striatula
289dc74860,storeria-dekayi
f59da20c0e,agkistrodon-piscivorus
a8dcaf77bd,nerodia-rhombifer
20521de004,storeria-occipitomaculata
28cbe878b8,thamnophis-radix
f7a26d3312,coluber-constrictor
b582572711,natrix-natrix
48ae13d2bb,diadophis-punctatus
f61003e94e,crotalus-atrox
34ae2757fd,masticophis-flagellum
299c932a68,pantherophis-spiloides
359e6d0ddd,heterodon-platirhinos
89ff9fa025,rhinocheilus-lecontei
0393357162,thamnophis-sirtalis
c05d210ea3,thamnophis-sirtalis
46df62b0fc,lampropeltis-californiae
e1d15dd163,pituophis-catenifer
b3bca815d3,storeria-dekayi
7f6754b25d,thamnophis-radix
e741f3bb48,crotalus-atrox
afa1088ee8,storeria-dekayi
81e239e148,opheodrys-aestivus
4da19f113d,pantherophis-guttatus
ceeaeab2ad,crotalus-atrox
4c9b44ec84,agkistrodon-contortrix
38dd02c903,storeria-occipitomaculata
d7b05b95e9,pantherophis-obsoletus
91c2696de7,pantherophis-alleghaniensis
f1720acd5d,agkistrodon-piscivorus
c8d4090e69,crotalus-horridus
c4f7a8d6b7,thamnophis-sirtalis
8f4a86eefe,pantherophis-alleghaniensis
f455b0e7fe,nerodia-sipedon
4f7bfebb0e,lampropeltis-triangulum
6bd6357818,agkistrodon-contortrix
567f9f7984,storeria-dekayi
eff29bf0a7,diadophis-punctatus
2fb0457497,crotalus-viridis
43a2e60922,pantherophis-obsoletus
78219366dc,rhinocheilus-lecontei
850b1bc288,opheodrys-aestivus
18911a9924,lampropeltis-californiae
2bc6a0b4cd,pantherophis-spiloides
b3b95ce26c,thamnophis-proximus
191533f0b1,pantherophis-emoryi
a50895bf8a,nerodia-erythrogaster
52481a2929,crotalus-horridus
ee25b0fbc5,thamnophis-sirtalis
16149bbf52,pantherophis-obsoletus
813dd70eb8,lampropeltis-californiae
6ddd224cf1,crotalus-scutulatus
