image_id,breed
7ede553357,crotalus-atrox
3500b219e4,agkistrodon-contortrix
d43a78d6d9,rhinocheilus-lecontei
1f36f26994,crotalus-atrox
8cb85fc58e,rhinocheilus-lecontei
7176bcfe9a,crotalus-atrox
27f2d0f582,rhinocheilus-lecontei
43eebba928,rhinocheilus-lecontei
180a56f143,rhinocheilus-lecontei
07fd20e8bd,agkistrodon-contortrix
d6145eb8ef,pantherophis-vulpinus
43cf88006f,nerodia-rhombifer
545094975f,natrix-natrix
de232d35ce,rhinocheilus-lecontei
f49f11daf4,crotalus-atrox
be70c24805,crotalus-atrox
8a68c61789,crotalus-atrox
e4a0afbde5,natrix-natrix
5d046e4a57,crotalus-atrox
9450d432f1,rhinocheilus-lecontei
24ae6b28c9,agkistrodon-contortrix
bbbcf461fd,crotalus-atrox
25f864a129,pantherophis-obsoletus
9d63e29dab,rhinocheilus-lecontei
560a7820ef,rhinocheilus-lecontei
261a672081,crotalus-atrox
e08cecfcc8,lampropeltis-triangulum
dcbaefa9de,thamnophis-sirtalis
4757eec719,crotalus-atrox
7a5772b7df,rhinocheilus-lecontei
756a3734d1,thamnophis-sirtalis
bcb51ed4fd,crotalus-atrox
b28a9dbd17,rhinocheilus-lecontei
84496bd65b,lampropeltis-triangulum
97254f0a1e,crotalus-atrox
738e860bf3,lampropeltis-triangulum
5b04af2d08,crotalus-atrox
df1007a11e,crotalus-atrox
71e4a3726c,crotalus-atrox
9ec71badf5,rhinocheilus-lecontei
9aaf30ca4e,natrix-natrix
502dbd30e8,nerodia-rhombifer
6a0948343e,natrix-natrix
a9c94931b4,crotalus-atrox
94f8b871bc,pantherophis-obsoletus
65be04e1a7,crotalus-atrox
553b5be83f,crotalus-atrox
f156e4b9ad,natrix-natrix
c195a35480,crotalus-atrox
ba36d77d65,thamnophis-sirtalis
ac60cb4c64,crotalus-atrox
e99babb9da,agkistrodon-contortrix
3f79415b22,crotalus-atrox
07a7f4b8a2,lampropeltis-triangulum
8713b35996,rhinocheilus-lecontei
8161aa3270,agkistrodon-contortrix
c084141ebb,pantherophis-alleghaniensis
3f264dfa93,pantherophis-obsoletus
ac29145967,lampropeltis-californiae
14cc5c0b07,pantherophis-obsoletus
0d53f3592b,crotalus-atrox
339702c73e,crotalus-atrox
d9282cfc2f,agkistrodon-contortrix
7cbb3598a5,lampropeltis-triangulum
7d23dd1a25,crotalus-atrox
302ae16a4f,pantherophis-obsoletus
665ce5599e,rhinocheilus-lecontei
7fe9ccee38,crotalus-atrox
b4ee296fbe,crotalus-atrox
463302e361,lampropeltis-triangulum
a18b060715,agkistrodon-contortrix
72b767e027,crotalus-atrox
28c9bd4b10,crotalus-atrox
a8cf67b3cd,crotalus-atrox
dc0bd440c3,crotalus-atrox
1b558cc89f,rhinocheilus-lecontei
23a5181788,crotalus-atrox
17e5f4b5bf,natrix-natrix
45708c6f17,crotalus-atrox
90e93122c1,pantherophis-spiloides
9aac958618,pantherophis-spiloides
23f9ca3329,crotalus-atrox
3702f63d72,crotalus-atrox
142b516abc,nerodia-sipedon
db55095044,rhinocheilus-lecontei
2532449658,rhinocheilus-lecontei
521ce40402,rhinocheilus-lecontei
5bdb8079ed,crotalus-atrox
2b88eaac56,lampropeltis-triangulum
f11e311c90,rhinocheilus-lecontei
75b79378c3,natrix-natrix
8f457bca60,natrix-natrix
4aae3ed36b,crotalus-atrox
7e85692fa2,agkistrodon-contortrix
8557e64d0e,crotalus-atrox
f590310834,crotalus-atrox
6ce6de9def,crotalus-atrox
5e13f84aae,crotalus-atrox
3f595dc653,crotalus-atrox
28fc7c65cc,rhinocheilus-lecontei
2e6627723a,crotalus-atrox
759223778f,crotalus-atrox
68e08979eb,lampropeltis-triangulum
b51b666b0a,crotalus-atrox
1134c2556d,crotalus-atrox
e10bcc9899,natrix-natrix
4d84d06252,nerodia-rhombifer
71792ec7f9,thamnophis-sirtalis
87fff43cf4,pantherophis-guttatus
d0d91b6a16,agkistrodon-contortrix
b1606f2410,rhinocheilus-lecontei
f9a3564f88,crotalus-atrox
8bdccf2baf,rhinocheilus-lecontei
abbfa54027,lampropeltis-triangulum
ca469b7a27,crotalus-atrox
95a51a0fcd,crotalus-atrox
8ef78ef2d3,rhinocheilus-lecontei
e21af6d4b9,opheodrys-aestivus
221b1ee2f1,rhinocheilus-lecontei
b2c3d5d9fb,rhinocheilus-lecontei
526c9eac74,natrix-natrix
a38e41fd76,crotalus-atrox
b2ba21f052,crotalus-atrox
3b9b67ba03,natrix-natrix
327b772827,lampropeltis-triangulum
2afdb4999f,agkistrodon-contortrix
0cbf1992d0,crotalus-atrox
c822ae5d01,lampropeltis-triangulum
5405370c87,rhinocheilus-lecontei
092388daba,rhinocheilus-lecontei
99a3b654d0,crotalus-atrox
e0f8e741d4,crotalus-atrox
5d9cf27241,crotalus-atrox
632bed91e6,crotalus-atrox
83d7c726d0,crotalus-atrox
2555c7e7ce,crotalus-atrox
2b9180fb4f,crotalus-atrox
e211c36384,thamnophis-sirtalis
06b96eed56,rhinocheilus-lecontei
d8fe032fe4,crotalus-atrox
366c0f8d42,crotalus-atrox
be80579760,natrix-natrix
a4ff6226a3,crotalus-atrox
53da6f2a06,pantherophis-emoryi
509628b6d3,lampropeltis-triangulum
75206b0c2d,nerodia-rhombifer
c3e988cbe7,pantherophis-emoryi
bf3224d5bb,lampropeltis-triangulum
2d45d24990,crotalus-atrox
