image_id,breed
7ede553357,lampropeltis-californiae
3500b219e4,nerodia-fasciata
d43a78d6d9,crotalus-scutulatus
1f36f26994,thamnophis-radix
8cb85fc58e,crotalus-viridis
7176bcfe9a,diadophis-punctatus
27f2d0f582,pantherophis-vulpinus
43eebba928,thamnophis-elegans
180a56f143,pantherophis-guttatus
07fd20e8bd,lampropeltis-triangulum
d6145eb8ef,haldea-striatula
43cf88006f,rhinocheilus-lecontei
545094975f,crotalus-viridis
de232d35ce,storeria-occipitomaculata
f49f11daf4,pantherophis-guttatus
be70c24805,thamnophis-elegans
8a68c61789,heterodon-platirhinos
e4a0afbde5,thamnophis-sirtalis
5d046e4a57,agkistrodon-piscivorus
9450d432f1,pantherophis-vulpinus
24ae6b28c9,nerodia-rhombifer
bbbcf461fd,haldea-striatula
25f864a129,pantherophis-spiloides
9d63e29dab,pantherophis-vulpinus
560a7820ef,nerodia-erythrogaster
261a672081,nerodia-sipedon
e08cecfcc8,pantherophis-spiloides
dcbaefa9de,coluber-constrictor
4757eec719,crotalus-viridis
7a5772b7df,crotalus-scutulatus
756a3734d1,diadophis-punctatus
bcb51ed4fd,thamnophis-elegans
b28a9dbd17,heterodon-platirhinos
84496bd65b,lampropeltis-californiae
97254f0a1e,thamnophis-sirtalis
738e860bf3,thamnophis-proximus
5b04af2d08,opheodrys-aestivus
df1007a11e,lampropeltis-californiae
71e4a3726c,storeria-dekayi
9ec71badf5,agkistrodon-contortrix
9aaf30ca4e,crotalus-horridus
502dbd30e8,crotalus-ruber
6a0948343e,rhinocheilus-lecontei
a9c94931b4,thamnophis-sirtalis
94f8b871bc,lampropeltis-californiae
65be04e1a7,pantherophis-obsoletus
553b5be83f,nerodia-erythrogaster
f156e4b9ad,thamnophis-marcianus
c195a35480,heterodon-platirhinos
ba36d77d65,nerodia-erythrogaster
ac60cb4c64,thamnophis-radix
e99babb9da,nerodia-sipedon
3f79415b22,pantherophis-emoryi
07a7f4b8a2,pituophis-catenifer
8713b35996,nerodia-fasciata
8161aa3270,pantherophis-vulpinus
c084141ebb,pantherophis-alleghaniensis
3f264dfa93,haldea-striatula
ac29145967,crotalus-horridus
14cc5c0b07,crotalus-scutulatus
0d53f3592b,diadophis-punctatus
339702c73e,diadophis-punctatus
d9282cfc2f,crotalus-ruber
7cbb3598a5,crotalus-atrox
7d23dd1a25,thamnophis-radix
302ae16a4f,thamnophis-marcianus
665ce5599e,coluber-constrictor
7fe9ccee38,storeria-dekayi
b4ee296fbe,diadophis-punctatus
463302e361,thamnophis-elegans
a18b060715,rhinocheilus-lecontei
72b767e027,pantherophis-guttatus
28c9bd4b10,natrix-natrix
a8cf67b3cd,coluber-constrictor
dc0bd440c3,nerodia-erythrogaster
1b558cc89f,thamnophis-radix
23a5181788,natrix-natrix
17e5f4b5bf,thamnophis-marcianus
45708c6f17,haldea-striatula
90e93122c1,haldea-striatula
9aac958618,nerodia-sipedon
23f9ca3329,crotalus-atrox
3702f63d72,lampropeltis-triangulum
142b516abc,nerodia-fasciata
db55095044,pantherophis-emoryi
2532449658,thamnophis-marcianus
521ce40402,masticophis-flagellum
5bdb8079ed,thamnophis-radix
2b88eaac56,rhinocheilus-lecontei
f11e311c90,storeria-dekayi
75b79378c3,natrix-natrix
8f457bca60,thamnophis-radix
4aae3ed36b,crotalus-ruber
7e85692fa2,storeria-dekayi
8557e64d0e,pantherophis-vulpinus
f590310834,crotalus-horridus
6ce6de9def,crotalus-ruber
5e13f84aae,pantherophis-spiloides
3f595dc653,pantherophis-spiloides
28fc7c65cc,pituophis-catenifer
2e6627723a,rhinocheilus-lecontei
759223778f,pantherophis-alleghaniensis
68e08979eb,nerodia-rhombifer
b51b666b0a,crotalus-viridis
1134c2556d,thamnophis-proximus
e10bcc9899,pantherophis-vulpinus
4d84d06252,thamnophis-sirtalis
71792ec7f9,pantherophis-emoryi
87fff43cf4,nerodia-sipedon
d0d91b6a16,pantherophis-obsoletus
b1606f2410,nerodia-fasciata
f9a3564f88,pantherophis-obsoletus
8bdccf2baf,coluber-constrictor
abbfa54027,pantherophis-vulpinus
ca469b7a27,agkistrodon-piscivorus
95a51a0fcd,crotalus-atrox
8ef78ef2d3,thamnophis-proximus
e21af6d4b9,agkistrodon-piscivorus
221b1ee2f1,agkistrodon-contortrix
b2c3d5d9fb,nerodia-erythrogaster
526c9eac74,crotalus-viridis
a38e41fd76,crotalus-atrox
b2ba21f052,agkistrodon-contortrix
3b9b67ba03,thamnophis-proximus
327b772827,storeria-occipitomaculata
2afdb4999f,pantherophis-obsoletus
0cbf1992d0,storeria-occipitomaculata
c822ae5d01,storeria-occipitomaculata
5405370c87,nerodia-rhombifer
092388daba,pantherophis-alleghaniensis
99a3b654d0,haldea-striatula
e0f8e741d4,pantherophis-spiloides
5d9cf27241,storeria-dekayi
632bed91e6,pituophis-catenifer
83d7c726d0,lampropeltis-triangulum
2555c7e7ce,natrix-natrix
2b9180fb4f,pantherophis-vulpinus
e211c36384,lampropeltis-triangulum
06b96eed56,thamnophis-radix
d8fe032fe4,pantherophis-alleghaniensis
